,value,mult_name
aw_US-ADR,70.0000002980232,p_aw_US-ADR_0_constant.csv
aw_US-Blo,150.0000059604644,p_aw_US-Blo_0_constant.csv
rew_US-ADR,3.0,p_rew_US-ADR_0_constant.csv
rew_US-Blo,3.0,p_rew_US-Blo_0_constant.csv
tew_US-ADR,18.0,p_tew_US-ADR_0_constant.csv
tew_US-Blo,18.0,p_tew_US-Blo_0_constant.csv
ndvi_alpha_US-ADR,0.2,p_ndvi_alpha_US-ADR_0_constant.csv
ndvi_alpha_US-Blo,0.2,p_ndvi_alpha_US-Blo_0_constant.csv
ndvi_beta_US-ADR,1.25,p_ndvi_beta_US-ADR_0_constant.csv
ndvi_beta_US-Blo,1.25,p_ndvi_beta_US-Blo_0_constant.csv
mad_US-ADR,0.6,p_mad_US-ADR_0_constant.csv
mad_US-Blo,0.6,p_mad_US-Blo_0_constant.csv
swe_alpha_US-ADR,0.15,p_swe_alpha_US-ADR_0_constant.csv
swe_alpha_US-Blo,0.15,p_swe_alpha_US-Blo_0_constant.csv
swe_beta_US-ADR,1.5,p_swe_beta_US-ADR_0_constant.csv
swe_beta_US-Blo,1.5,p_swe_beta_US-Blo_0_constant.csv
