,value,mult_name
aw_1778,145.0,p_inst0_constant.csv
aw_1791,145.0,p_inst1_constant.csv
aw_1804,145.0,p_inst2_constant.csv
aw_1853,145.0,p_inst3_constant.csv
aw_1375,145.0,p_inst4_constant.csv
rew_1778,3.0,p_inst5_constant.csv
rew_1791,3.0,p_inst6_constant.csv
rew_1804,3.0,p_inst7_constant.csv
rew_1853,3.0,p_inst8_constant.csv
rew_1375,3.0,p_inst9_constant.csv
tew_1778,18.0,p_inst10_constant.csv
tew_1791,18.0,p_inst11_constant.csv
tew_1804,18.0,p_inst12_constant.csv
tew_1853,18.0,p_inst13_constant.csv
tew_1375,18.0,p_inst14_constant.csv
ndvi_alpha_1778,-0.2,p_inst15_constant.csv
ndvi_alpha_1791,-0.2,p_inst16_constant.csv
ndvi_alpha_1804,-0.2,p_inst17_constant.csv
ndvi_alpha_1853,-0.2,p_inst18_constant.csv
ndvi_alpha_1375,-0.2,p_inst19_constant.csv
ndvi_beta_1778,0.8,p_inst20_constant.csv
ndvi_beta_1791,0.8,p_inst21_constant.csv
ndvi_beta_1804,0.8,p_inst22_constant.csv
ndvi_beta_1853,0.8,p_inst23_constant.csv
ndvi_beta_1375,0.8,p_inst24_constant.csv
mad_1778,0.6,p_inst25_constant.csv
mad_1791,0.6,p_inst26_constant.csv
mad_1804,0.6,p_inst27_constant.csv
mad_1853,0.6,p_inst28_constant.csv
mad_1375,0.6,p_inst29_constant.csv
